year,price,mileage,mpg,engineSize,Automatic,Manual,Semi-Auto,Diesel,Electric,Hybrid,Other,Petrol
0.265625,0.09174311926605505,0.28861255439279904,0.1850828729281768,0.24,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.34375,0.30275229357798167,0.040463176145415246,0.21049723756906075,0.3,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.34375,0.29357798165137616,0.16565246027144329,0.1850828729281768,0.3,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.34375,0.3211559633027523,0.06845752436065593,0.10165745856353592,0.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.28125,0.1284954128440367,0.18588967761183947,0.1287292817679558,0.32,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.359375,0.3119816513761468,0.015272203239080628,0.15911602209944753,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.328125,0.3119816513761468,0.09597901409005702,0.1972375690607735,0.4,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.265625,0.10097247706422019,0.24939344640655697,0.307182320441989,0.3,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.359375,0.315651376146789,0.027262543415727047,0.07513812154696131,0.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.3125,0.19275229357798165,0.17906137590560844,0.2171270718232044,0.4,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.328125,0.15055045871559633,0.24250885202344027,0.1325966850828729,0.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.328125,0.27165137614678897,0.26546500565741404,0.1850828729281768,0.4,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.265625,0.128348623853211,0.1407260629464713,0.24806629834254146,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.328125,0.18834862385321102,0.16825881121124953,0.2171270718232044,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.359375,0.3351376146788991,0.057621184060165614,0.10165745856353592,0.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.28125,0.10761467889908256,0.27387513158413224,0.24806629834254146,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.28125,0.10596330275229358,0.34274922175374206,0.24806629834254146,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.328125,0.31972477064220184,0.08902123922698896,0.09613259668508288,0.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.265625,0.07880733944954128,0.41728072595036114,0.24806629834254146,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.296875,0.13458715596330276,0.2821557843540134,0.2955801104972376,0.3,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.296875,0.1191743119266055,0.16803364050370687,0.307182320441989,0.3,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.3125,0.3329357798165138,0.13568786836520438,0.1541436464088398,0.4,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.296875,0.11385321100917431,0.16287723130098006,0.1850828729281768,0.24,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.34375,0.16519266055045873,0.17407947400122717,0.24806629834254146,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.34375,0.24225688073394494,0.07552788457749532,0.21049723756906075,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.34375,0.23491743119266056,0.07743057705623076,0.21049723756906075,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.296875,0.2551009174311927,0.14171118479197042,0.1850828729281768,0.4,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.328125,0.15601834862385322,0.11971200666505294,0.23977900552486192,0.22000000000000003,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.359375,0.22390825688073396,0.0682773877946218,0.1972375690607735,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.359375,0.21106422018348625,0.09768468219969265,0.1972375690607735,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.359375,0.23858715596330277,0.08906064410080893,0.21049723756906075,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.359375,0.23858715596330277,0.05942254972050686,0.21049723756906075,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.3125,0.16886238532110093,0.11700432890685251,0.22430939226519334,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
