year scaled,price scaled,mileage scaled,engineSize scaled,Automatic scaled,Manual scaled,Semi-Auto scaled,Diesel scaled,Electric scaled,Hybrid scaled,Petrol scaled,mpg scaled * 7.0
0.9583333333333428,0.5190094683175528,6.622560414307381e-05,0.125,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.5099601593625493
0.875,0.6941005098324836,0.05959642116835211,0.125,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5.005976095617529
0.875,0.31533867443554264,0.18114689501254974,0.125,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.615537848605578
0.7916666666666714,0.3006554989075018,0.2037033357836807,0.15000000000000002,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.2669322709163335
0.7916666666666714,0.28620538965768394,0.3604527182299221,0.15000000000000002,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.2669322709163335
0.875,0.3008011653313911,0.236114146451301,0.125,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.615537848605578
0.875,0.37943190094683177,0.27446539381055507,0.125,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.9462151394422316
0.875,0.394027676620539,0.1804713938502904,0.125,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5.005976095617529
0.875,0.3880553532410779,0.3010615964344135,0.125,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5.005976095617529
0.7916666666666714,0.1696722505462491,0.7656474546189048,0.15000000000000002,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.2669322709163335
0.8333333333333428,0.3880553532410779,0.08608666282558163,0.125,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5.005976095617529
0.75,0.3006554989075018,0.24755130828680985,0.15000000000000002,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.2669322709163335
0.7916666666666714,0.2423889293517844,0.6225140563844794,0.15000000000000002,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.2669322709163335
0.9583333333333428,0.5047050254916242,0.03205981496566202,0.125,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.615537848605578
0.9583333333333428,0.6212672978878369,0.01007953695057583,0.125,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.615537848605578
0.9583333333333428,0.5047050254916242,0.04593407903363598,0.125,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.615537848605578
0.7916666666666714,0.25112891478514204,0.3172405115265664,0.15000000000000002,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.93227091633466
0.875,0.3007428987618354,0.10800733779693905,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.081673306772908
0.8333333333333428,0.242476329206118,0.2844985728382307,0.125,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.615537848605578
0.7916666666666714,0.28034959941733434,0.1874714402082133,0.15000000000000002,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.2669322709163335
0.9583333333333428,0.5629424617625638,0.030490268147471175,0.125,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.615537848605578
