model,year,price,mileage,mpg,engineSize,Automatic,Manual,Semi-Auto,Diesel,Electric,Hybrid,Petrol
 Focus,2017,18498,14441,41.5,2.0,0,1,0,0,0,0,1
 Focus,2018,13998,13401,60.1,1.0,0,1,0,0,0,0,1
 Fiesta,2019,12798,10567,58.9,1.0,0,1,0,0,0,0,1
 Fiesta,2019,14698,7872,58.9,1.0,0,1,0,0,0,0,1
 Ka+,2017,7698,10641,57.7,1.2,0,1,0,0,0,0,1
 EcoSport,2018,12498,10222,54.3,1.0,0,1,0,0,0,0,1
 Fiesta,2017,9998,28519,62.8,1.0,0,1,0,0,0,0,1
 Kuga,2017,13998,51772,60.1,2.0,0,1,0,1,0,0,0
 Fiesta,2016,9500,7350,57.7,1.0,1,0,0,0,0,0,1
 Ka+,2018,8195,12231,47.9,1.2,0,1,0,0,0,0,1
 Kuga,2019,21498,5354,31.0,1.5,1,0,0,0,0,0,1
 Focus,2017,17998,19525,41.5,2.0,0,1,0,0,0,0,1
 EcoSport,2018,14498,11922,54.3,1.0,0,1,0,0,0,0,1
 C-MAX,2016,9998,16984,68.9,1.5,0,1,0,1,0,0,0
 Fiesta,2016,7998,16070,54.3,1.2,0,1,0,0,0,0,1
 Focus,2018,10998,26648,61.4,1.0,0,1,0,0,0,0,1
 Fiesta,2017,10998,19140,62.8,1.0,0,1,0,0,0,0,1
 Focus,2016,9998,26399,74.3,1.5,0,1,0,1,0,0,0
 Fiesta,2013,5498,53545,54.3,1.2,0,1,0,0,0,0,1
 Fiesta,2017,9298,25491,65.7,1.0,0,1,0,0,0,0,1
 Fiesta,2014,7298,31359,65.7,1.0,0,1,0,0,0,0,1
 Focus,2016,8498,51656,74.3,1.5,0,1,0,1,0,0,0
 Kuga,2016,17698,11221,54.3,2.0,0,0,1,1,0,0,0
 Kuga,2017,14498,23356,60.1,2.0,0,1,0,1,0,0,0
 EcoSport,2018,12898,15267,53.3,1.0,0,1,0,0,0,0,1
 B-MAX,2017,7998,41294,74.4,1.5,0,1,0,1,0,0,0
 C-MAX,2018,12198,7993,49.6,1.0,0,1,0,0,0,0,1
 EcoSport,2017,9698,30207,53.3,1.0,0,1,0,0,0,0,1
 Fiesta,2016,8798,19815,65.7,1.0,0,1,0,0,0,0,1
 Kuga,2015,14298,43717,54.3,2.0,0,1,0,1,0,0,0
 Focus,2018,15798,4534,58.9,1.0,0,1,0,0,0,0,1
 Fiesta,2017,10298,9148,65.7,1.0,0,1,0,0,0,0,1
 KA,2014,4898,22609,57.7,1.2,0,1,0,0,0,0,1
 Focus,2016,10298,15510,74.3,1.5,0,1,0,1,0,0,0
 Fiesta,2017,9998,20347,65.7,1.0,0,1,0,0,0,0,1
 Kuga,2018,16698,3044,39.2,1.5,0,1,0,0,0,0,1
 Fiesta,2017,8998,5233,54.3,1.2,0,1,0,0,0,0,1
 Focus,2017,12498,12244,51.4,1.0,0,0,1,0,0,0,1
 Fiesta,2018,12498,17918,65.7,1.0,0,1,0,0,0,0,1
 EcoSport,2017,9298,16770,44.8,1.5,0,1,0,0,0,0,1
 Focus,2017,10900,25459,60.1,1.0,0,1,0,0,0,0,1
 EcoSport,2017,9998,23913,53.3,1.0,0,1,0,0,0,0,1
 Fiesta,2018,12998,9901,65.7,1.0,0,1,0,0,0,0,1
 Focus,2016,10998,15006,51.4,1.0,0,0,1,0,0,0,1
 Focus,2017,15500,19593,41.5,2.0,0,1,0,0,0,0,1
 Kuga,2017,16200,23027,58.9,1.5,0,0,1,1,0,0,0
 C-MAX,2016,10500,13580,64.2,1.5,0,0,1,1,0,0,0
 Focus,2015,13200,32000,67.3,2.0,0,1,0,1,0,0,0
 Focus,2019,18698,15365,60.1,1.0,0,1,0,0,0,0,1
 Focus,2019,16998,7924,80.7,1.5,0,1,0,1,0,0,0
 Fiesta,2017,9998,10721,65.7,1.0,0,1,0,0,0,0,1
 EcoSport,2017,9498,25939,53.3,1.0,0,1,0,0,0,0,1
 Fiesta,2019,17498,3265,58.9,1.0,0,1,0,0,0,0,1
 Focus,2019,15998,11045,41.5,1.0,1,0,0,0,0,0,1
 EcoSport,2020,17998,250,51.4,1.0,0,1,0,0,0,0,1
 B-MAX,2013,5698,44901,47.1,1.4,0,1,0,0,0,0,1
 Focus,2017,9998,22001,60.1,1.0,0,1,0,0,0,0,1
 Fiesta,2020,17298,4563,54.3,1.0,0,1,0,0,0,0,1
 Fiesta,2019,16998,12236,55.4,1.0,0,1,0,0,0,0,1
 Kuga,2019,23998,7584,39.2,2.0,0,1,0,1,0,0,0
 Fiesta,2013,6498,41599,65.7,1.0,0,1,0,0,0,0,1
 Fiesta,2013,4998,79300,65.7,1.0,0,1,0,0,0,0,1
 C-MAX,2017,11498,12982,55.4,1.0,0,1,0,0,0,0,1
 Focus,2017,11298,24386,74.3,1.5,0,1,0,1,0,0,0
 EcoSport,2017,9298,18209,64.2,1.5,0,1,0,1,0,0,0
 EcoSport,2018,12998,9796,54.3,1.0,0,1,0,0,0,0,1
 Fiesta,2018,14498,9428,62.8,1.0,0,1,0,0,0,0,1
 Galaxy,2016,18498,30528,56.5,2.0,0,1,0,1,0,0,0
 C-MAX,2016,8498,41772,55.4,1.0,0,1,0,0,0,0,1
 Fiesta,2015,8298,15673,65.7,1.0,0,1,0,0,0,0,1
 Focus,2015,8498,47219,74.3,1.5,0,1,0,1,0,0,0
 Focus,2018,12998,16081,57.7,1.0,0,1,0,0,0,0,1
 Focus,2019,16998,10476,60.1,1.0,0,1,0,0,0,0,1
 Fiesta,2016,9998,16647,65.7,1.0,0,1,0,0,0,0,1
 Kuga,2017,13698,41457,54.3,2.0,0,1,0,1,0,0,0
 Focus,2017,13998,4735,51.4,1.0,0,0,1,0,0,0,1
 EcoSport,2016,9498,24045,53.3,1.0,0,1,0,0,0,0,1
 EcoSport,2019,15984,6500,51.4,1.0,0,1,0,0,0,0,1
 EcoSport,2017,8489,60190,44.8,1.5,0,1,0,0,0,0,1
 Fiesta,2017,9995,27000,78.5,1.5,0,1,0,1,0,0,0
 Fiesta,2017,8498,32538,65.7,1.0,0,1,0,0,0,0,1
 Kuga,2016,13498,36345,54.3,2.0,0,1,0,1,0,0,0
 Focus,2016,8998,43623,61.4,1.0,0,1,0,0,0,0,1
 Kuga,2013,9998,58500,45.6,2.0,0,0,1,1,0,0,0
 Kuga,2017,17498,15729,54.3,2.0,0,1,0,1,0,0,0
 Fiesta,2018,9998,7892,65.7,1.0,0,1,0,0,0,0,1
 Fiesta,2017,11990,24725,47.9,1.6,0,1,0,0,0,0,1
 Focus,2019,16899,7000,80.7,1.5,0,1,0,1,0,0,0
 EcoSport,2019,15984,3500,51.4,1.0,0,1,0,0,0,0,1
 EcoSport,2019,15984,4500,51.4,1.0,0,1,0,0,0,0,1
 EcoSport,2019,15984,4000,51.4,1.0,0,1,0,0,0,0,1
 EcoSport,2019,13998,4889,68.9,1.5,0,1,0,1,0,0,0
 Kuga,2017,17994,20633,54.3,2.0,0,1,0,1,0,0,0
 Galaxy,2016,17489,47937,51.4,2.0,0,0,1,1,0,0,0
 Kuga,2018,19899,28500,54.3,2.0,0,0,1,1,0,0,0
 Fiesta,2014,4699,85000,54.3,1.2,0,1,0,0,0,0,1
 EcoSport,2017,9949,23000,53.3,1.0,0,1,0,0,0,0,1
 C-MAX,2017,11498,9995,55.4,1.0,0,1,0,0,0,0,1
 C-MAX,2017,10898,12626,55.4,1.0,0,1,0,0,0,0,1
 C-MAX,2018,12998,7320,55.4,1.0,0,1,0,0,0,0,1
 C-MAX,2019,13498,23394,48.7,1.0,0,1,0,0,0,0,1
